transaction_id,transaction_time,amount,merchant_latitude,merchant_longitude,customer_distance,transaction_hour,day_of_week,previous_fraud_count,avg_transaction_amount,transaction_frequency,device_type,ip_country_mismatch,card_age_days,is_fraud
TXN000000,2025/3/28 17:46,19.81,67.451811,132.760714,28.9,17,4,1,61.2,4.55,2,0,21,legitimate
TXN000001,2025/8/21 15:23,42.62,62.600178,-138.522812,42.4,15,3,0,147.68,2.25,1,0,450,legitimate
TXN000002,2025/3/16 17:42,300.52,-0.368726,120.404214,32.3,17,6,0,62.24,4.1,0,0,1261,legitimate
TXN000003,2025/6/12 14:10,7.45,-81.327802,48.660178,33.8,14,3,0,27.14,3.72,0,1,906,legitimate
TXN000004,2025/11/3 06:46,52.2,5.266557,-114.833058,,6,0,0,38.39,7.21,1,0,2134,legitimate
TXN000005,2025/12/24 11:10,350.89,67.603897,82.848531,83.7,11,2,0,12.75,5.99,1,0,1748,legitimate
TXN000006,2025/11/18 04:41,17.67,-69.582754,-15.284917,257.9,4,1,0,375.9,0.93,0,0,1387,legitimate
TXN000007,2025/6/24 17:09,194.17,-4.036458,100.406855,6.3,17,1,0,14.51,4.51,0,0,479,legitimate
TXN000008,2025/1/2 20:17,65.36,52.085945,-169.352426,151.7,20,3,0,168.93,5.16,0,0,1321,legitimate
TXN000009,2025/2/28 18:44,122.31,1.54455,21.373895,252.7,18,4,0,148.48,5.29,1,0,1080,fraudulent
TXN000010,2025/3/22 15:15,28.82,79.291729,-46.428218,72.5,15,5,0,6.88,1.77,2,0,2604,legitimate
TXN000011,2025/7/29 03:53,40.51,73.203679,161.536543,28.7,3,1,0,245.73,1.59,0,0,1794,legitimate
TXN000012,2025/3/13 09:34,28.07,84.138727,96.765236,3.9,9,3,0,85.65,1.46,1,0,2775,legitimate
TXN000013,2025/11/24 10:17,179.61,31.811104,-114.25296,33.1,10,0,0,53.06,,0,0,2917,legitimate
TXN000014,2025/1/9 08:46,3.95,-59.270287,-155.544603,95.2,8,3,0,22.47,1.92,1,0,2005,legitimate
TXN000015,2025/12/24 00:22,47.11,-78.896219,-160.377682,0.7,0,2,0,48.41,3.32,1,0,580,legitimate
TXN000016,2025/8/17 19:37,66.02,-89.93118,-9.465343,7.4,19,6,1,51.49,5.46,0,0,2502,legitimate
TXN000017,2025/6/3 01:56,36.17,9.992224,-106.377844,1.8,1,1,1,116.21,2.27,2,0,419,fraudulent
TXN000018,2025/10/17 05:52,94.86,68.096668,-26.876293,6,5,4,0,194.44,5.17,1,0,1450,legitimate
TXN000019,2025/7/3 03:30,205.5,71.049856,-10.857321,7,3,3,0,283.66,7.02,0,0,2842,legitimate
TXN000020,2025/9/11 03:45,2.49,-3.846311,61.456516,44.4,3,3,0,1.61,7.15,0,0,123,legitimate
TXN000021,2025/9/17 16:40,10.35,88.523152,-14.286196,7,16,2,1,229.16,2.78,0,0,2671,legitimate
TXN000022,2025/10/2 01:05,21.11,29.134418,12.082389,2.1,1,3,0,0.34,6.61,2,0,2122,legitimate
TXN000023,2025/2/25 13:47,82.38,67.83354,77.813894,55.3,13,1,0,68.54,3.87,0,0,369,legitimate
TXN000024,2025/9/5 20:49,21.53,-43.908634,-29.178495,28.4,20,4,0,231.76,5.92,1,0,2426,legitimate
TXN000025,2025/3/7 07:00,272.58,-5.961029,-32.386661,60.6,7,4,0,207.9,1.39,0,0,2436,legitimate
TXN000026,2025/8/1 17:11,12.92,-7.581497,-161.834677,106.5,17,4,0,140.34,3.33,2,0,1696,legitimate
TXN000027,2025/7/29 10:12,3.84,34.152965,101.829165,198.8,10,1,0,610.82,3.05,0,0,1014,legitimate
TXN000028,2025/11/30 02:28,50.86,30.610694,93.161601,40.6,2,6,0,92.83,1.43,1,0,2142,legitimate
TXN000029,2025/4/13 14:12,1669.94,82.217907,123.002789,42.1,14,6,0,59.62,7.22,0,0,767,legitimate
TXN000030,2025/8/14 00:08,91.89,-89.080488,15.739972,13.5,0,3,0,22.38,7.38,0,0,1341,fraudulent
TXN000031,2025/1/19 00:21,705.48,-84.151051,-46.78855,54.8,0,6,0,18.94,6.53,0,0,821,legitimate
TXN000032,2025/9/26 14:01,23.81,50.4394,-11.207683,15.7,14,4,0,115.74,7.15,0,0,2783,legitimate
TXN000033,2025/9/22 17:21,56.75,-0.449596,83.573978,11.5,17,0,2,13.51,7.73,0,0,2043,legitimate
TXN000034,2025/12/2 17:49,68.35,7.505606,-66.205687,62.8,17,1,0,60.98,2.19,1,0,729,legitimate
TXN000035,2025/11/4 10:47,53.89,-38.899427,-50.865878,8.2,10,1,0,99.85,6.79,1,0,113,legitimate
TXN000036,2025/3/8 00:49,18.57,-68.311806,-161.021647,42.1,0,5,0,23.63,5.85,0,0,48,legitimate
TXN000037,2025/10/18 09:04,47.96,-79.000656,5.381687,21,9,5,0,277.91,4.21,0,0,716,legitimate
TXN000038,2025/12/29 23:08,224.98,-45.719498,72.581941,11,23,0,0,107.22,4.86,1,0,1338,legitimate
TXN000039,2025/3/26 19:04,29.89,-71.265563,-28.462368,17.1,19,2,0,19.35,6.56,0,0,1565,legitimate
TXN000040,2025/11/6 19:09,16.26,14.03916,124.578003,2.2,19,3,0,127.39,6.69,0,0,62,legitimate
TXN000041,2025/12/24 13:23,18.96,-61.122393,-38.328206,13.7,13,2,0,42.07,1.24,1,1,1766,legitimate
TXN000042,2025/10/17 22:08,18.11,-56.81116,84.016475,10,22,4,0,61.11,4.17,1,0,1431,legitimate
TXN000043,2025/7/8 08:07,88.94,31.884507,-147.345931,67.1,8,1,0,19.04,,0,1,2517,legitimate
TXN000044,2025/11/2 19:26,108.46,73.184489,1.780329,,19,6,0,100.82,6.72,1,0,1469,legitimate
TXN000045,2025/12/15 22:27,154.24,-85.90904,32.178921,54.2,22,0,0,,7.32,1,0,2401,legitimate
TXN000046,2025/1/19 11:28,7.05,-82.153179,-139.382086,93.7,11,6,,15.56,4.43,2,1,1605,legitimate
TXN000047,2025/6/13 11:51,14.9,-86.677668,-133.134047,82.7,11,4,0,19.45,7.44,0,0,2794,legitimate
TXN000048,2025/4/4 22:25,1501.14,3.195296,-35.62649,148.9,22,4,0,121.98,6.14,0,0,442,legitimate
TXN000049,2025/2/5 14:22,48.95,76.509571,-155.879116,47.4,14,2,0,56.51,1.62,0,0,1774,legitimate
TXN000050,2025/3/16 16:39,4.14,-87.047581,-135.340699,78.4,16,6,0,8.02,5.79,0,0,1516,legitimate
TXN000051,2025/11/9 16:28,84.4,7.665445,178.02737,29.3,16,6,0,33.67,4.31,0,0,1223,legitimate
TXN000052,2025/12/9 06:33,447.94,5.687866,-151.436332,19.7,6,1,1,85.28,5.62,0,0,1919,fraudulent
TXN000053,2025/4/14 16:50,49.77,-2.165153,52.424544,1.5,16,0,0,50.49,1.85,2,0,176,legitimate
TXN000054,2025/12/18 01:32,37.23,-10.626197,-26.365219,77.6,1,3,1,194.03,7.54,0,0,1248,legitimate
TXN000055,2025/6/16 16:47,86.75,28.908618,84.723985,31,16,0,0,63.16,2.91,0,0,304,legitimate
TXN000056,2025/3/30 20:20,89.58,77.987003,165.409894,111,20,6,0,161,,0,0,1784,legitimate
TXN000057,2025/11/29 15:05,72.82,-82.279273,147.334286,8.8,15,5,1,98.47,0.08,0,0,2529,legitimate
TXN000058,2025/12/8 19:27,70.84,8.283414,113.679918,324,19,0,0,10.84,7.29,0,0,609,legitimate
TXN000059,2025/7/2 18:39,8.15,-12.027142,-36.846733,27.8,18,2,0,18.59,6.62,1,0,150,legitimate
TXN000060,2025/10/20 18:51,476.13,-56.941429,-68.889781,135.6,18,0,0,27.48,0.68,1,0,1233,legitimate
TXN000061,2025/8/13 00:10,81.12,27.715793,4.664956,,0,2,0,107.69,5.17,2,0,2653,legitimate
TXN000062,2025/12/15 17:15,21.46,-72.298334,159.897198,88.3,17,0,0,169.43,7.19,0,0,2142,legitimate
TXN000063,2025/10/20 16:33,193.54,-44.164116,46.881293,91.6,16,0,,40.49,0.39,1,0,2549,legitimate
